t,p99_latency,replica_count,cpu_cores,queue_size,drop_total,recv_total,fwd_total
0.0,0.7024999999999999,4.0,0.541,0.0,325.0,864.0,448.0
16.7,1.9333333333333331,6.0,0.541,0.0,329.0,934.0,505.0
32.6,1.9863157894736854,8.0,0.94,0.0,340.0,1009.0,550.0
49.1,4.045999999999995,9.0,0.94,nan,nan,nan,nan
65.5,4.297999999999997,9.0,0.94,nan,nan,nan,nan
81.3,4.595000000000001,9.0,0.94,nan,nan,nan,nan
100.8,nan,9.0,0.723,nan,nan,nan,nan
116.2,nan,9.0,0.723,3.0,709.0,1659.0,738.0
131.8,nan,10.0,0.723,3.0,754.0,1704.0,738.0
