t,p99_latency,replica_count,cpu_cores,queue_size,drop_total,recv_total,fwd_total
0.0,0.199,1.0,0.002,0.0,16.0,101.0,82.0
15.7,0.7343181818181819,2.0,0.053,0.0,17.0,171.0,144.0
31.0,0.9733333333333318,4.0,0.053,0.0,26.0,246.0,193.0
48.0,0.9733333333333343,5.0,0.053,nan,nan,nan,nan
66.5,1.1099999999999945,5.0,0.053,nan,nan,nan,nan
85.9,nan,5.0,0.499,nan,nan,nan,nan
101.5,nan,5.0,0.499,nan,nan,nan,nan
117.6,nan,5.0,0.499,1.0,321.0,824.0,410.0
133.6,0.7024999999999997,6.0,0.541,0.0,325.0,864.0,448.0
