Timestamp,P99_Latency,Queue_Size,Replica_Count
2026-06-24T15:57:51,0.0747,0,1
2026-06-24T15:58:06,0.0744,6,1
2026-06-24T15:58:21,0.0780,0,1
2026-06-24T15:58:36,0.0879,0,1
2026-06-24T15:58:51,0.0900,2,1
2026-06-24T15:59:06,0.0937,6,1
2026-06-24T15:59:21,0.0869,0,1
2026-06-24T15:59:36,0.0786,0,1
2026-06-24T15:59:51,0.0746,0,1
2026-06-24T16:00:06,0.0748,6,1
2026-06-24T16:00:21,0.0746,0,1
2026-06-24T16:00:36,0.0748,0,1
2026-06-24T16:00:51,0.0749,0,1
2026-06-24T16:01:06,0.0749,6,1
2026-06-24T16:01:22,0.0747,0,1
2026-06-24T16:01:37,0.0749,0,1
2026-06-24T16:01:52,0.0749,3,1
2026-06-24T16:02:07,0.0750,4,1
2026-06-24T16:02:22,0.0832,101,1
2026-06-24T16:02:37,0.0952,308,1
2026-06-24T16:02:52,0.0968,315,1
2026-06-24T16:03:07,0.0989,373,1
2026-06-24T16:03:22,0.0999,363,1
2026-06-24T16:03:37,0.1103,351,1
2026-06-24T16:03:52,0.0994,372,1
2026-06-24T16:04:07,0.1547,305,1
2026-06-24T16:04:22,0.1827,294,1
2026-06-24T16:04:37,0.2047,308,1
2026-06-24T16:04:52,0.2047,315,1
2026-06-24T16:05:07,0.1936,290,1
2026-06-24T16:05:22,0.1627,263,1
2026-06-24T16:05:37,0.0999,169,1
2026-06-24T16:05:52,0.0992,156,1
2026-06-24T16:06:07,0.0990,127,1
2026-06-24T16:06:23,0.0984,33,1
2026-06-24T16:06:38,0.0979,6,1
2026-06-24T16:06:53,0.0953,9,1
2026-06-24T16:07:08,0.0894,0,1
2026-06-24T16:07:23,0.0749,0,1
2026-06-24T16:07:38,0.0750,5,1
2026-06-24T16:07:53,0.0749,0,1
2026-06-24T16:08:08,0.0845,0,1
2026-06-24T16:08:23,0.0886,2,1
2026-06-24T16:08:38,0.0866,6,1
2026-06-24T16:08:53,0.0905,0,1
