Timestamp,P99_Latency,Queue_Size,Replica_Count
2026-06-24T16:20:40,0.2294,0,1
2026-06-24T16:20:55,0.2291,7,1
2026-06-24T16:21:10,0.2323,0,1
2026-06-24T16:21:25,0.0750,0,1
2026-06-24T16:21:40,0.0748,3,1
2026-06-24T16:21:55,0.0747,0,1
2026-06-24T16:22:10,0.0747,0,1
2026-06-24T16:22:25,0.0746,1,1
2026-06-24T16:22:40,0.0872,3,1
2026-06-24T16:22:55,0.0868,3,1
2026-06-24T16:23:10,0.0861,0,1
2026-06-24T16:23:25,0.0762,0,1
2026-06-24T16:23:41,0.0757,4,1
2026-06-24T16:23:56,0.0811,0,1
2026-06-24T16:24:11,0.0878,0,1
2026-06-24T16:24:26,0.0880,0,1
2026-06-24T16:24:41,0.0858,4,1
2026-06-24T16:24:56,0.0832,0,1
2026-06-24T16:25:11,0.0928,122,1
2026-06-24T16:25:26,0.0981,319,1
2026-06-24T16:25:41,0.0993,319,1
2026-06-24T16:25:56,0.1082,343,1
2026-06-24T16:26:11,0.1095,330,1
2026-06-24T16:26:26,0.1241,352,1
2026-06-24T16:26:41,0.1609,372,1
2026-06-24T16:26:56,0.1546,307,1
2026-06-24T16:27:11,0.1546,296,1
2026-06-24T16:27:26,0.1380,306,1
2026-06-24T16:27:41,0.1480,316,1
2026-06-24T16:27:56,0.1127,304,1
2026-06-24T16:28:11,0.0999,261,1
2026-06-24T16:28:26,0.0994,166,1
2026-06-24T16:28:42,0.0996,153,1
2026-06-24T16:28:57,0.0992,121,1
2026-06-24T16:29:12,0.0990,29,1
2026-06-24T16:29:27,0.0985,2,1
2026-06-24T16:29:42,0.0951,6,1
2026-06-24T16:29:57,0.0939,0,1
2026-06-24T16:30:12,0.0749,0,1
2026-06-24T16:30:27,0.0847,4,1
2026-06-24T16:30:42,0.0802,5,1
2026-06-24T16:30:57,0.0749,0,1
2026-06-24T16:31:12,0.0747,0,1
2026-06-24T16:31:27,0.0748,4,1
2026-06-24T16:31:42,0.0748,0,1
