timestamp,p99_latency,replica_count,cpu_cores,queue_depth
1781965783.353,0.19927184466019418,1.0,0.49862893221562876,0.0
1781965798.671,0.1974390243902439,2.0,0.034383954154726594,0.0
1781965813.817,0.6141666666666666,2.0,0.40652669492911564,0.0
1781965828.962,0.524999999999998,2.0,0.6027379939142707,0.0
1781965844.259,0.6156250000000001,2.0,0.6192153236309066,0.0
1781965859.488,0.39800000000000024,2.0,0.626879526487996,0.0
1781965874.748,0.402,2.0,0.5942599547009995,0.0
1781965889.91,0.5650000000000006,2.0,0.6928182399506094,0.0
1781965905.124,0.5668749999999999,2.0,0.6340760366505458,0.0
1781965920.442,0.5995000000000007,2.0,0.6922330525294369,0.0
1781965935.625,0.4574000000000006,2.0,0.6627266086725511,0.0
1781965950.787,0.4551999999999997,2.0,0.6899744436410349,0.0
1781965965.999,0.31975,2.0,0.6278493191716948,1.0
1781965981.073,0.27849999999999997,2.0,0.5962878053081738,0.0
1781965996.24,0.1987303370786517,2.0,0.6016335648074602,0.0
1781966011.435,0.22733333333333447,2.0,0.6146384479717859,0.0
1781966026.87,0.24200000000000033,2.0,0.6779248373246003,0.0
1781966042.075,0.24199999999999958,2.0,0.630539265399712,0.0
1781966057.506,1.9122000000000003,2.0,1.0299814320261937,51.0
1781966072.627,5.0,2.0,1.431783612194964,100.0
1781966087.714,5.0,2.0,1.7612373862002202,100.0
1781966102.867,5.0,1.0,1.569335051630953,100.0
1781966117.99,5.0,1.0,0.9947991590129429,100.0
1781966133.114,5.0,1.0,0.9894203217985476,100.0
1781966148.24,5.0,1.0,0.9939139094832323,100.0
1781966163.387,5.0,1.0,0.9899265986289612,100.0
1781966178.58,5.0,1.0,0.9955291930414769,99.0
1781966193.665,5.0,1.0,0.9893767081019151,100.0
1781966208.917,5.0,1.0,0.9931400752378817,99.0
1781966224.041,5.0,1.0,0.9887808856267473,100.0
1781966239.186,5.0,1.0,0.9922751720932275,100.0
1781966254.41,5.0,1.0,0.9922092868841607,99.0
1781966269.587,5.0,1.0,0.9959114745356007,100.0
1781966284.724,5.0,1.0,0.9945766463752088,76.0
1781966299.849,5.0,1.0,0.9941999468697391,15.0
1781966315.018,5.0,1.0,0.8748869726308377,0.0
1781966330.162,5.0,1.0,0.7425117885368924,0.0
1781966345.306,1.946206896551725,1.0,0.6314117413462201,0.0
1781966360.497,0.19668115942028988,1.0,0.6378031225777816,0.0
1781966375.579,0.1972068965517241,1.0,0.6744201443294406,0.0
1781966390.751,0.19698749999999998,1.0,0.6608056336780548,0.0
1781966405.865,0.1957710843373494,1.0,0.6757323561226545,0.0
