timestamp,p99_latency,replica_count,cpu_cores,queue_depth,drop_fraction
1782066229.997,0.16633333333333322,1.0,0.2779003042027439,0.0,0.0
1782066245.128,0.19692857142857134,1.0,0.202357268424523,0.0,0.0
1782066260.287,0.19718518518518519,1.0,0.2848866247128158,0.0,0.0
1782066275.416,0.1947073170731708,1.0,0.3937589899312777,0.0,0.0
1782066290.581,0.19309803921568627,1.0,0.5373873783886387,0.0,0.0
1782066305.81,0.1926595744680851,1.0,0.5180301668165032,0.0,0.0
1782066320.929,0.1923863636363636,1.0,0.498232015502324,0.0,0.0
1782066336.057,0.19302083333333334,1.0,0.5060231336276629,0.0,0.0
1782066351.157,0.19310416666666663,1.0,0.5238961402386624,0.0,0.0
1782066366.424,0.19449206349206352,1.0,0.5400975453745899,0.0,0.0
1782066381.629,0.19385964912280707,1.0,0.5587094710750419,0.0,0.0
1782066396.754,0.19016216216216222,1.0,0.5646950646650809,0.0,0.0
1782066411.864,0.17905882352941166,1.0,0.5168108356473599,0.0,0.0
1782066426.962,0.16836363636363627,1.0,0.4974915552357558,0.0,0.0
1782066442.071,0.15587500000000032,1.0,0.49422669703144373,0.0,0.0
1782066457.202,0.1745000000000001,1.0,0.5091047192628326,0.0,0.0
1782066472.372,0.1754666666666667,1.0,0.5106791073105422,0.0,0.0
1782066487.493,0.18205000000000007,1.0,0.5347540131539447,3.0,0.0
1782066502.591,0.32749999999999857,1.0,0.6369503106831055,2.0,0.15444015444015444
1782066517.754,0.49480000000000035,1.0,0.8143602454674523,3.0,0.378076062639821
1782066532.845,0.4871999999999993,1.0,0.9142126503376352,2.0,0.4246575342465753
1782066548.007,0.5630555555555574,1.0,0.9874865070163487,3.0,0.4985119047619047
1782066563.13,0.5117857142857138,1.0,0.989351287635111,2.0,0.5142231947483589
1782066578.226,0.49236111111111114,2.0,0.9886661202950414,3.0,0.5132997843278218
1782066593.498,0.48731034482758634,2.0,1.4020150405248375,2.0,0.45609065155807366
1782066608.751,0.46324999999999966,2.0,1.6495915405638306,3.0,0.33498935415188075
1782066623.945,0.4737333333333337,2.0,1.8973483391566193,3.0,0.2948717948717948
1782066639.054,0.47659259259259257,2.0,1.9698434970106153,2.0,0.26180257510729615
1782066654.21,0.46656000000000003,2.0,1.9729875526962517,1.0,0.27061310782241016
1782066669.329,0.4838518518518522,2.0,1.9722806781696653,3.0,0.23372781065088757
1782066684.589,0.4720000000000008,2.0,1.862843874264957,0.0,0.1953931691818904
1782066699.783,0.4941904761904759,3.0,1.7889789246085548,0.0,0.09705882352941175
1782066715.895,0.45024999999999943,3.0,1.7250468860831873,0.0,0.02457002457002457
1782066730.995,0.4584285714285705,3.0,1.3927236984536329,0.0,0.015691868758915834
1782066746.125,0.3986153846153851,3.0,1.0221573994525541,0.0,0.0019305019305019303
1782066761.243,0.3335999999999988,3.0,0.6407691503854884,0.0,0.0
1782066776.357,0.1616999999999999,3.0,0.532264155496462,0.0,0.0
1782066791.46,0.1656363636363637,3.0,0.5258382269107774,0.0,0.0
1782066806.528,0.14585714285714269,3.0,0.5128632178620829,0.0,0.0
1782066821.612,0.15212500000000004,3.0,0.5240308130197209,0.0,0.0
1782066836.71,0.15224999999999966,3.0,0.5228563414281071,0.0,0.0
1782066851.794,0.1566666666666664,3.0,0.5342337886079418,0.0,0.0
